Data,Noleggi auto,Noleggi moto,Noleggi bici
01/01/2013,243,269,65
01/02/2013,361,9,77
01/03/2013,426,167,54
01/04/2013,438,278,11
01/05/2013,388,266,25
01/06/2013,132,159,77
01/07/2013,185,92,2
01/08/2013,305,262,2
01/09/2013,54,151,70
01/10/2013,70,99,63
01/11/2013,38,132,69
01/12/2013,314,191,95
01/13/2013,190,225,5
01/14/2013,258,120,38
01/15/2013,323,10,75
01/16/2013,20,165,70
01/17/2013,200,128,64
01/18/2013,72,108,12
01/19/2013,311,40,69
01/20/2013,445,293,50
01/21/2013,242,96,55
01/22/2013,324,20,14
01/23/2013,40,237,59
01/24/2013,364,115,56
01/25/2013,119,141,4
01/26/2013,381,125,84
01/27/2013,410,189,91
01/28/2013,226,137,100
01/29/2013,64,293,83
01/30/2013,260,255,67
01/31/2013,496,88,32
