Data,Tipo,Valore
01/01/2013,Noleggi auto,243
01/01/2013,Noleggi bici,65
01/01/2013,Noleggi moto,269
01/02/2013,Noleggi auto,361
01/02/2013,Noleggi bici,77
01/02/2013,Noleggi moto,9
01/03/2013,Noleggi auto,426
01/03/2013,Noleggi bici,54
01/03/2013,Noleggi moto,167
01/04/2013,Noleggi auto,438
01/04/2013,Noleggi bici,11
01/04/2013,Noleggi moto,278
01/05/2013,Noleggi auto,388
01/05/2013,Noleggi bici,25
01/05/2013,Noleggi moto,266
01/06/2013,Noleggi auto,132
01/06/2013,Noleggi bici,77
01/06/2013,Noleggi moto,159
01/07/2013,Noleggi auto,185
01/07/2013,Noleggi bici,2
01/07/2013,Noleggi moto,92
01/08/2013,Noleggi auto,305
01/08/2013,Noleggi bici,2
01/08/2013,Noleggi moto,262
01/09/2013,Noleggi auto,54
01/09/2013,Noleggi bici,70
01/09/2013,Noleggi moto,151
01/10/2013,Noleggi auto,70
01/10/2013,Noleggi bici,63
01/10/2013,Noleggi moto,99
01/11/2013,Noleggi auto,38
01/11/2013,Noleggi bici,69
01/11/2013,Noleggi moto,132
01/12/2013,Noleggi auto,314
01/12/2013,Noleggi bici,95
01/12/2013,Noleggi moto,191
01/13/2013,Noleggi auto,190
01/13/2013,Noleggi bici,5
01/13/2013,Noleggi moto,225
01/14/2013,Noleggi auto,258
01/14/2013,Noleggi bici,38
01/14/2013,Noleggi moto,120
01/15/2013,Noleggi auto,323
01/15/2013,Noleggi bici,75
01/15/2013,Noleggi moto,10
01/16/2013,Noleggi auto,20
01/16/2013,Noleggi bici,70
01/16/2013,Noleggi moto,165
01/17/2013,Noleggi auto,200
01/17/2013,Noleggi bici,64
01/17/2013,Noleggi moto,128
01/18/2013,Noleggi auto,72
01/18/2013,Noleggi bici,12
01/18/2013,Noleggi moto,108
01/19/2013,Noleggi auto,311
01/19/2013,Noleggi bici,69
01/19/2013,Noleggi moto,40
01/20/2013,Noleggi auto,445
01/20/2013,Noleggi bici,50
01/20/2013,Noleggi moto,293
01/21/2013,Noleggi auto,242
01/21/2013,Noleggi bici,55
01/21/2013,Noleggi moto,96
01/22/2013,Noleggi auto,324
01/22/2013,Noleggi bici,14
01/22/2013,Noleggi moto,20
01/23/2013,Noleggi auto,40
01/23/2013,Noleggi bici,59
01/23/2013,Noleggi moto,237
01/24/2013,Noleggi auto,364
01/24/2013,Noleggi bici,56
01/24/2013,Noleggi moto,115
01/25/2013,Noleggi auto,119
01/25/2013,Noleggi bici,4
01/25/2013,Noleggi moto,141
01/26/2013,Noleggi auto,381
01/26/2013,Noleggi bici,84
01/26/2013,Noleggi moto,125
01/27/2013,Noleggi auto,410
01/27/2013,Noleggi bici,91
01/27/2013,Noleggi moto,189
01/28/2013,Noleggi auto,226
01/28/2013,Noleggi bici,100
01/28/2013,Noleggi moto,137
01/29/2013,Noleggi auto,64
01/29/2013,Noleggi bici,83
01/29/2013,Noleggi moto,293
01/30/2013,Noleggi auto,260
01/30/2013,Noleggi bici,67
01/30/2013,Noleggi moto,255
01/31/2013,Noleggi auto,496
01/31/2013,Noleggi bici,32
01/31/2013,Noleggi moto,88
