Data,Noleggi auto,Noleggi moto,Noleggi bici,Auto noleggiate,Moto noleggiate,Bici noleggiate
01/01/2013,243.33,269.78,65.08,7,9,5
01/02/2013,361.06,9.82,77.53,10,1,6
01/03/2013,426.34,167.54,54.57,11,6,4
01/04/2013,438.84,278.02,11.47,11,10,1
01/05/2013,388.56,266.92,25.1,10,9,2
01/06/2013,132.14,159.82,77.54,4,6,6
01/07/2013,185.06,92.88,2.28,5,4,1
01/08/2013,305.74,262.06,2.8,8,9,1
01/09/2013,54.97,151.73,70.97,2,6,5
01/10/2013,70.13,99.45,63.49,2,4,5
01/11/2013,38.53,132.21,69.68,1,5,5
01/12/2013,314.06,191.41,95.14,8,7,7
01/13/2013,190.19,225.42,5.91,5,8,1
01/14/2013,258.83,120.91,38.39,7,5,3
01/15/2013,323.21,10.86,75.78,9,1,6
01/16/2013,20.76,165.35,70.9,1,6,5
01/17/2013,200.74,128.9,64.43,6,5,5
01/18/2013,72.41,108.07,12.84,2,4,1
01/19/2013,311.79,40.82,70,8,2,5
01/20/2013,445.63,293.87,50.73,12,10,4
01/21/2013,242.82,96.58,55.92,7,4,4
01/22/2013,324.8,20.34,14.95,9,1,1
01/23/2013,40.77,237,59.41,2,8,4
01/24/2013,364.67,115.39,56.78,10,4,4
01/25/2013,119.08,141.9,4.17,3,5,1
01/26/2013,381.37,125.71,84.34,10,5,6
01/27/2013,410.92,189.38,91.69,11,7,7
01/28/2013,226.97,137.75,100.69,6,5,7
01/29/2013,64.45,293.15,83.87,2,10,6
01/30/2013,260.37,255.99,67.69,7,9,5
01/31/2013,496.09,88.43,32.48,13,3,3
