Data,Regione,Noleggi auto,Noleggi moto,Noleggi bici
01/01/2013,Lombardia,52.13,32.6,0.43
01/01/2013,Veneto,45.51,21.28,5.94
01/01/2013,Piemonte,79.62,18.02,8
01/01/2013,Lazio,8.75,30.14,3.87
01/01/2013,Toscana,41.69,14.69,1.39
01/01/2013,Campania,10.77,12.5,2.93
01/01/2013,Abruzzo,15.73,0.47,0.42
01/01/2013,Marche,49.73,15.92,2.84
01/01/2013,Basilicata,1.68,0.95,0.35
01/01/2013,Sicilia,0.68,11.77,1.01
01/01/2013,Calabria,9.62,1.07,1.72
01/01/2013,Sardegna,25.01,18.1,2.32
01/01/2013,Emilia Romagna,78.95,29.98,6.02
01/01/2013,Val d'Aosta,37.81,23.34,1.48
01/02/2013,Lombardia,56.98,36.7,0.86
01/02/2013,Veneto,19,17.91,3.15
01/02/2013,Piemonte,51.95,37.08,2.31
01/02/2013,Lazio,37.11,15.64,8.28
01/02/2013,Toscana,54.19,19.55,7.33
01/02/2013,Campania,9.2,13.58,2.24
01/02/2013,Abruzzo,18.05,8.43,1.6
01/02/2013,Marche,9.69,19.03,0.41
01/02/2013,Basilicata,2.54,0.95,0.98
01/02/2013,Sicilia,23.16,1.63,2.71
01/02/2013,Calabria,5.47,2.6,0.23
01/02/2013,Sardegna,32.02,16.73,1.28
01/02/2013,Emilia Romagna,44.09,30.63,5.47
01/02/2013,Val d'Aosta,3.78,18.87,5.8
01/03/2013,Lombardia,19.9,27.61,4.11
01/03/2013,Veneto,46.38,19.54,5.75
01/03/2013,Piemonte,2.03,34.28,5.32
01/03/2013,Lazio,24.28,29.11,7.54
01/03/2013,Toscana,7.6,15.82,3.64
01/03/2013,Campania,12.57,9.97,2.63
01/03/2013,Abruzzo,13.5,5.73,0.35
01/03/2013,Marche,24.07,16.81,1.02
01/03/2013,Basilicata,5.65,3.38,0.06
01/03/2013,Sicilia,23.89,11.39,2.68
01/03/2013,Calabria,2.47,6.69,0.92
01/03/2013,Sardegna,9.43,18.85,2.62
01/03/2013,Emilia Romagna,48.63,4.07,4.71
01/03/2013,Val d'Aosta,14.37,2.77,0.16
01/04/2013,Lombardia,34.38,42.36,1.46
01/04/2013,Veneto,46,17.58,4.56
01/04/2013,Piemonte,52.83,1.01,2.15
01/04/2013,Lazio,10.5,19.09,1.41
01/04/2013,Toscana,0.16,25.18,0.85
01/04/2013,Campania,2.26,11.59,1.83
01/04/2013,Abruzzo,10.93,3.86,1.86
01/04/2013,Marche,40.06,20.92,4.87
01/04/2013,Basilicata,9.16,3.69,0.63
01/04/2013,Sicilia,7.84,0.89,0.49
01/04/2013,Calabria,0.76,2.19,1.7
01/04/2013,Sardegna,21.96,7.65,0.59
