Data,UserId,Accessi,Download,Upload
01/01/2013,2160,9,2208,4
01/02/2013,2160,7,66259,4184
01/03/2013,2160,10,10711052,53721
01/04/2013,2160,1,763,41
01/05/2013,2160,4,4306,742
01/06/2013,2160,5,113,15
01/07/2013,2160,2,259,55
01/08/2013,2160,9,15124789,931800
01/09/2013,2160,6,504,10
01/10/2013,2160,5,9630245,78826
01/11/2013,2160,9,6965370,16573
01/12/2013,2160,6,12240096,944409
01/13/2013,2160,7,85887,3762
01/14/2013,2160,4,72,4
01/15/2013,2160,8,6,1
01/16/2013,2160,10,378,18
01/17/2013,2160,7,4809,482
01/18/2013,2160,9,142589,5271
01/19/2013,2160,1,1,0
01/20/2013,2160,8,120,1
01/21/2013,2160,8,712578,12239
01/22/2013,2160,5,627,39
01/23/2013,2160,7,3683363,361979
01/24/2013,2160,1,1631,995
01/25/2013,2160,7,54,8
01/26/2013,2160,5,5,0
01/27/2013,2160,10,140997223,1221774
01/28/2013,2160,9,3789046,162627
01/29/2013,2160,8,178359,7614
01/30/2013,2160,2,6526525,442629
01/31/2013,2160,4,31,2
01/01/2013,4615,1,1810989,96786
01/02/2013,4615,5,239271,3818
01/03/2013,4615,5,2657985,98785
01/04/2013,4615,6,35,2
01/05/2013,4615,9,302144,16519
01/06/2013,4615,4,2,0
01/07/2013,4615,9,11987854,173578
01/08/2013,4615,7,21886465,719558
01/09/2013,4615,4,70,3
01/10/2013,4615,9,316856,20620
01/11/2013,4615,8,151597,10981
01/12/2013,4615,2,148,14
01/13/2013,4615,7,169,4
01/14/2013,4615,6,8376911,159181
01/15/2013,4615,5,486,23
01/16/2013,4615,6,162673,212
01/17/2013,4615,1,1,0
01/18/2013,4615,8,8320,465
01/19/2013,4615,10,321,18
01/20/2013,4615,8,278,25
01/21/2013,4615,10,6847168,204714
01/22/2013,4615,6,173983,5990
01/23/2013,4615,1,4174106,71662
01/24/2013,4615,8,172898,9746
01/25/2013,4615,8,1304,45
01/26/2013,4615,3,1003,1675
01/27/2013,4615,4,103773,1807
01/28/2013,4615,2,7,1
01/29/2013,4615,5,3161,343
01/30/2013,4615,5,1173,477
01/31/2013,4615,10,14,0
01/01/2013,1150,9,9,0
01/02/2013,1150,8,6884,312
01/03/2013,1150,4,2,0
01/04/2013,1150,1,6657745,83777
01/05/2013,1150,3,19,1
01/06/2013,1150,5,9,1
01/07/2013,1150,2,199,19
01/08/2013,1150,7,18,2
01/09/2013,1150,1,11,0
01/10/2013,1150,5,33210,1371
01/11/2013,1150,8,50438,2035
01/12/2013,1150,4,6,1
01/13/2013,1150,6,7,0
01/14/2013,1150,5,19667870,541633
01/15/2013,1150,1,24427,3763
01/16/2013,1150,9,328,267
01/17/2013,1150,1,2009328,59321
01/18/2013,1150,6,713696,25299
01/19/2013,1150,5,88340,30293
01/20/2013,1150,2,5,0
01/21/2013,1150,4,654,9
01/22/2013,1150,9,11204,170
01/23/2013,1150,5,4770952,315011
01/24/2013,1150,8,3840321,727388
01/25/2013,1150,8,1139842,56096
01/26/2013,1150,1,2276276,123363
01/27/2013,1150,6,43,3
01/28/2013,1150,2,821533,573377
01/29/2013,1150,6,361258,124776
01/30/2013,1150,6,0,1
01/31/2013,1150,10,48996633,663960
01/01/2013,1710,6,4760,133
01/02/2013,1710,1,4,0
01/03/2013,1710,1,38883,570
01/04/2013,1710,4,14,0
01/05/2013,1710,7,2818,169
01/06/2013,1710,10,748137,33262
01/07/2013,1710,10,2,0
01/08/2013,1710,3,3,0
01/09/2013,1710,5,963253,35927
01/10/2013,1710,10,600,1
01/11/2013,1710,1,6291,295
01/12/2013,1710,4,590863,63676
01/13/2013,1710,8,9377629,281457
01/14/2013,1710,6,100,5
01/15/2013,1710,1,144446,4603
01/16/2013,1710,8,60,5
01/17/2013,1710,5,3549320,122137
01/18/2013,1710,8,431,18
01/19/2013,1710,6,58843772,1564317
01/20/2013,1710,1,7169,930
01/21/2013,1710,3,2,0
01/22/2013,1710,6,10290,458
01/23/2013,1710,1,9,1
01/24/2013,1710,4,33913,203824
01/25/2013,1710,10,30986,15462
01/26/2013,1710,3,12057,135
01/27/2013,1710,6,5642583,35526
01/28/2013,1710,7,815,7
01/29/2013,1710,7,5,0
01/30/2013,1710,4,7,2
01/31/2013,1710,8,747507,10804
01/01/2013,2174,8,4849,463
01/02/2013,2174,2,3,0
01/03/2013,2174,5,904223,9679
01/04/2013,2174,10,2378,189
01/05/2013,2174,8,21390258,562701
01/06/2013,2174,2,95,1
01/07/2013,2174,2,21,21
01/08/2013,2174,1,6,0
01/09/2013,2174,2,3119,907
01/10/2013,2174,8,7246195,42120
01/11/2013,2174,10,378,28
01/12/2013,2174,6,23575291,505225
01/13/2013,2174,5,3,0
01/14/2013,2174,3,0,0
01/15/2013,2174,5,133,3
01/16/2013,2174,9,87720321,3230228
01/17/2013,2174,6,19,6
01/18/2013,2174,4,12,20
01/19/2013,2174,8,499,54
01/20/2013,2174,8,6924,266
01/21/2013,2174,3,1,0
01/22/2013,2174,5,4,0
01/23/2013,2174,9,81071,1281
01/24/2013,2174,6,27,4
01/25/2013,2174,9,11373879,118701
01/26/2013,2174,5,12,1
01/27/2013,2174,3,450,17
01/28/2013,2174,5,27,2
01/29/2013,2174,1,103356,2053
01/30/2013,2174,5,90006,4322
01/31/2013,2174,5,558,32
01/01/2013,4342,10,633704,51919
01/02/2013,4342,2,19,5
01/03/2013,4342,5,54961605,3032289
